symbol,tier,status,opened_at,closed_at,avg_entry_price,cost_basis,realized_pnl,unrealized_pnl,pnl_used,pct_return
INTELLECT,VOLUME_SHOCK,CLOSED,2026-09-01T05:41:22,2026-09-01T09:51:49,708.25,708.25,-12.25,0.0,-12.25,-1.73
JSL,VOLUME_SHOCK,CLOSED,2026-09-01T07:28:04,2026-09-01T09:46:33,735.725,1471.45,-5.45,0.0,-5.45,-0.37
EIHOTEL,VOLUME_SHOCK,CLOSED,2026-09-01T09:51:17,2026-09-07T09:56:12,294.45,883.35,-1.2,0.0,-1.2,-0.136
EMAMILTD,VOLUME_SHOCK,CLOSED,2026-09-01T09:51:17,2026-09-07T09:50:36,376.5,376.5,-9.55,0.0,-9.55,-2.537
ETERNAL,PREPARE TO BUY,CLOSED,2026-09-02T03:49:24,2026-09-08T09:59:47,325.1,650.2,-7.0,0.0,-7.0,-1.077
RECLTD,BUY NOW,CLOSED,2026-09-04T08:10:53,2026-09-09T08:10:57,319.0,3828.0,-31.2,0.0,-31.2,-0.815
MASTEK,BUY NOW,CLOSED,2026-09-04T08:10:54,2026-09-04T09:46:51,1758.0,1758.0,11.1,0.0,11.1,0.631
FIRSTCRY,BUY NOW,CLOSED,2026-09-04T08:10:55,2026-09-04T09:46:52,178.81,3218.58,26.28,0.0,26.28,0.817
NUVAMA,BUY NOW,CLOSED,2026-09-04T08:41:40,2026-09-04T09:46:52,1829.75,3659.5,-30.1,0.0,-30.1,-0.823
ASHOKLEY,BUY NOW,CLOSED,2026-09-04T08:41:41,2026-09-09T08:44:38,169.47,1525.23,-13.23,0.0,-13.23,-0.867
ANANTRAJ,BUY NOW,CLOSED,2026-09-04T08:47:15,2026-09-04T09:48:24,625.0,3125.0,-4.5,0.0,-4.5,-0.144
GICRE,VOLUME_SHOCK,CLOSED,2026-09-04T08:53:15,2026-09-04T09:46:51,358.7,358.7,0.1,0.0,0.1,0.028
IONEXCHANG,VOLUME_SHOCK,CLOSED,2026-09-04T09:49:22,2026-09-07T06:54:47,411.0,3288.0,290.8,0.0,290.8,8.844
NUVOCO,VOLUME_SHOCK,CLOSED,2026-09-07T03:49:16,2026-09-08T09:33:53,350.5,5958.5,-176.8,0.0,-176.8,-2.967
WELSPLSOL,VOLUME_SHOCK,CLOSED,2026-09-07T03:52:00,2026-09-08T05:53:01,61.49,922.35,-59.55,0.0,-59.55,-6.456
GICRE,VOLUME_SHOCK,CLOSED,2026-09-07T03:53:17,2026-09-08T09:52:12,352.7,2116.2,-28.8,0.0,-28.8,-1.361
ANDHRAPAP,VOLUME_SHOCK,CLOSED,2026-09-07T06:45:32,2026-09-08T08:21:12,68.0,272.0,15.719999999999999,0.0,15.72,5.779
AEROENTER,VOLUME_SHOCK,CLOSED,2026-09-07T07:49:42,2026-09-08T09:52:10,151.57,454.71,3.18,0.0,3.18,0.699
PPLPHARMA,VOLUME_SHOCK,CLOSED,2026-09-07T09:48:34,2026-09-08T09:52:11,220.09,1980.81,62.37,0.0,62.37,3.149
BANDHANBNK,VOLUME_SHOCK,CLOSED,2026-09-08T05:21:41,2026-09-10T07:32:51,170.14,340.28,-0.16,0.0,-0.16,-0.047
COFFEEDAY,VOLUME_SHOCK,CLOSED,2026-09-08T07:43:50,2026-09-09T09:49:14,33.6,67.2,-0.88,0.0,-0.88,-1.31
ELGIRUBCO,VOLUME_SHOCK,CLOSED,2026-09-10T03:54:01,2026-09-10T07:32:52,62.78,62.78,-2.09,0.0,-2.09,-3.329
